Ward Code,Ward Name,Borough,Population,Working age population,Child population,16-59 population,Old age population,IMD Extent %,IMD Extent Rank,IMD Average rank,IMD average rank rank,IMD average score,IMD average score rank,Rank of worst LSOA,Worst LSOA Code,Worst LSOA: % of resident in ward,Number of LSOAs,# LSOAs in worst 5%,# LSOAs in worst 10%,# LSOAs in worst 20%,# LSOAs in worst 50%,Income scale,Income score,Income rank,Employment scale,Employment score,Employment rank,IDACI scale,IDACI score,IDACI score rank,IDAOPI scale,IDAOPI score,IDAOPI score (rank)
E05000026,Abbey,Barking and Dagenham,14370,9403,3899,9397,1074,43%,82,7767.4,86,31.3,91,5010,E01000008,100%,7.00,0.00,0.00,2.00,7.00,2722.8,0.189,111,870.6,0.093,252,915.40,0.235,154,376.91,0.351,99
E05000027,Alibon,Barking and Dagenham,10845,6459,2865,6600,1380,65%,25,5807.4,25,35.4,30,4570,E01000017,100%,6.00,0.00,0.00,5.00,6.00,2326.9,0.215,58,883.2,0.137,40,737.44,0.257,112,379.34,0.275,199
E05000028,Becontree,Barking and Dagenham,13856,8376,3829,8439,1588,64%,27,5863.2,26,35.3,31,4611,E01000021,100%,8.00,0.00,0.00,7.00,8.00,2864.6,0.207,72,1054.5,0.126,77,953.97,0.249,125,468.42,0.295,172
E05000029,Chadwell Heath,Barking and Dagenham,10850,6100,2721,6145,1984,47%,64,7678.3,83,32.1,74,4240,E01000028,100%,6.00,0.00,0.00,3.00,6.00,2062.5,0.190,110,742.8,0.122,97,660.18,0.243,143,446.60,0.225,299
E05000030,Eastbrook,Barking and Dagenham,11348,6717,2398,6797,2153,20%,220,11410.1,224,25.3,221,4879,E01000033,100%,7.00,0.00,0.00,2.00,7.00,1731.6,0.153,242,668.7,0.100,213,518.68,0.216,202,415.31,0.193,363
E05000031,Eastbury,Barking and Dagenham,12536,7411,3442,7483,1611,49%,61,6820.5,52,33.2,61,3842,E01000042,100%,7.00,0.00,0.00,3.00,7.00,2327.3,0.186,127,845.8,0.114,126,751.99,0.218,195,420.35,0.261,224
E05000032,Gascoigne,Barking and Dagenham,12738,7458,4208,7516,1014,73%,15,5265.1,18,37.1,19,3117,E01000048,100%,7.00,0.00,1.00,7.00,7.00,2968.8,0.233,28,960.0,0.129,67,1132.86,0.269,87,357.66,0.353,96
E05000033,Goresbrook,Barking and Dagenham,12065,7038,3253,7052,1760,52%,50,6662.3,45,33.3,59,4249,E01000053,100%,7.00,0.00,0.00,2.00,7.00,2390.8,0.198,88,844.1,0.120,103,807.80,0.248,128,467.11,0.265,215
E05000034,Heath,Barking and Dagenham,11629,6700,3048,6790,1791,61%,31,5920.7,29,35.9,27,2802,E01000061,100%,6.00,0.00,1.00,5.00,6.00,2423.8,0.208,70,913.7,0.136,42,771.06,0.253,122,467.43,0.261,223
E05000035,Longbridge,Barking and Dagenham,12381,7611,2861,7722,1798,0%,438,13597.2,290,21.2,306,10329,E01000066,100%,6.00,0.00,0.00,0.00,5.00,1515.4,0.122,355,557.8,0.073,383,388.75,0.136,408,406.36,0.226,294
